Gene,CellType
6030408B16Rik,IR
Aldoa,IR
Eif4ebp1,IR
Lrrc59,IR
Ppa1,IR
Hspa9,IR
C3,IR
S100a8,IR
Pkm,IR
Gja1,IR
Gda,IR
Higd1a,IR
Thbs1,IR
Npm1,IR
Tubb6,IR
Ebna1bp2,IR
Gapdh,IR
Eif6,IR
Ifrd1,IR
Pgam1,IR
Rps18,IR
Hspa8,IR
Enc1,IR
Eef1g,IR
Tuba1c,IR
Sdf2l1,IR
C1qbp,IR
Socs3,IR
Hnrnpa1,IR
Rpl36al,IR
Ifi205,IR
Gar1,IR
Mcfd2,IR
Eno1,IR
Cycs,IR
Ier2,IR
Hspe1,IR
Tomm40,IR
Esd,IR
Hnrnpf,IR
Rpsa,IR
Nop56,IR
Ddx39,IR
Prmt1,IR
Capg,IR
Gnl3,IR
Sgk1,IR
Etf1,IR
Tspan4,IR
Cct7,IR
Arpc1b,IR
Eef1e1,IR
Nop58,IR
Fbl,IR
Mrto4,IR
Tnfrsf1a,IR
Cct3,IR
Pabpc1,IR
Anp32b,IR
Ranbp1,IR
Tpi1,IR
Slc3a2,IR
Pfn1,IR
Nars,IR
Fgl2,IR
Mrpl12,IR
Rplp1,IR
Ddx21,IR
Eif4e,IR
Cxcl12,IR
Hnrnpa3,IR
Hnrnpab,IR
Mgst1,IR
Eif2s1,IR
Serp1,IR
Mdh2,IR
Fkbp11,IR
Rsl1d1,IR
Stat3,IR
Eif5,IR
Xbp1,IR
Cct8,IR
Rpl29,IR
Chic2,IR
Rpl32,IR
Fxyd5,IR
Naa50,IR
Map2k3,IR
Erh,IR
Snrpd1,IR
Txn1,IR
Tomm20,IR
Npm3,IR
Eif2s2,IR
Adgrd1,IR
Rps6,IR
Rrs1,IR
Eif3i,IR
Calr,IR
Ssr4,IR
Rpl22l1,IR
Aprt,IR
Pdia6,IR
Rassf1,IR
Serbp1,IR
Eif1a,IR
Srsf7,IR
Creld2,IR
Atf4,IR
Snrpd3,IR
Rplp0,IR
Eif3b,IR
Atp5g1,IR
Pcbp1,IR
Csf1,IR
Uqcrq,IR
Adamts1,IR
Odc1,IR
Tgfb1,IR
Gnb2l1,IR
Kctd11,IR
Cald1,IR
Serpine2,IR
Rpl18,IR
Rpl14,IR
Nip7,IR
Fam162a,IR
Impdh2,IR
Anxa7,IR
Nolc1,IR
Ifitm3,IR
Litaf,IR
Ier5,IR
Gnpnat1,IR
Rpl7l1,IR
Set,IR
Snrpa1,IR
Srsf3,IR
Junb,IR
Carhsp1,IR
Rpl5,IR
Yrdc,IR
Psmb2,IR
Rpl3,IR
Rpl12,IR
Osmr,IR
Snrpf,IR
Nhp2l1,IR
Ccnl1,IR
Prdx5,IR
Comp,MFC
Sfrp2,MFC
1500015O10Rik,MFC
Angptl7,MFC
Thbs4,MFC
Wisp2,MFC
Cilp,MFC
Eln,MFC
Fmod,MFC
Cst3,MFC
Fam101b,MFC
Ltbp2,MFC
Itgbl1,MFC
Ddah1,MFC
Crlf1,MFC
Cd200,MFC
Ctgf,MFC
Frzb,MFC
Fn1,MFC
Postn,MFC
Mfap4,MFC
Fxyd6,MFC
Cthrc1,MFC
Abi3bp,MFC
Itgb5,MFC
Pmepa1,MFC
Lox,MFC
Col5a2,MFC
Pdgfrl,MFC
Col8a2,MFC
Aspn,MFC
Fibin,MFC
Col8a1,MFC
Timp3,MFC
Cfh,MFC
Mgp,MFC
Col3a1,MFC
Sparc,MFC
Col14a1,MFC
Dkk3,MFC
Gucy1a3,MFC
Fbln5,MFC
Nupr1,MFC
Thbs1,MFC
Tgfb3,MFC
Gxylt2,MFC
Col1a2,MFC
Cpe,MFC
Tm4sf1,MFC
Cst6,MFC
Igfbp7,MFC
Ptn,MFC
Meox1,MFC
Loxl3,MFC
Gas6,MFC
Actn1,MFC
Dhrs3,MFC
Lbh,MFC
Id2,MFC
Adamts2,MFC
Emp1,MFC
Id3,MFC
Fbln1,MFC
Col12a1,MFC
Prelp,MFC
Cdc42ep3,MFC
Pam,MFC
Gm42418,MFC
Fgl2,MFC
Dio2,MFC
Clec11a,MFC
Tmem119,MFC
Stc2,MFC
Dok1,MFC
Sfrp1,MFC
Serpinf1,MFC
Adamtsl2,MFC
Nox4,MFC
Fat1,MFC
Col16a1,MFC
Rasl11b,MFC
Mdk,MFC
Gng8,MFC
Ctsd,MFC
Lmcd1,MFC
Col4a2,MFC
Synpo,MFC
Tns3,MFC
Pamr1,MFC
Lmo4,MFC
Ltbp3,MFC
Pkd2,MFC
Col1a1,MFC
Bgn,MFC
