Gene,CellType
Cited2,DCs
Tnfaip8,DCs
Rnf149,DCs
Metrnl,DCs
Pltp,DCs
Psme1,DCs
Ier3,DCs
Capzb,DCs
Tpi1,DCs
Capg,DCs
Kdm6b,DCs
Cnn2,DCs
Rnpep,DCs
Lox,DCs
Arpc3,DCs
Ostf1,DCs
Cmtm7,DCs
Tubb5,DCs
Prelid1,DCs
Creg1,DCs
Atpif1,DCs
Tmem14c,DCs
Gm10076,DCs
Picalm,DCs
Tma7,DCs
Rpl32,DCs
Myl9,DCs
Sec61b,DCs
Fau,DCs
Prcp,DCs
Ubl5,DCs
Mcl1,DCs
Cebpb,DCs
Vasp,DCs
